epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,572.769,1.0123,0.93937,1.12014,0.99759,1,0.995,0.76645,0.90028,0.92927,1.02492,0.00028715,0.00028715,0.00028715
45,587.179,1.12702,0.96473,1.1568,0.9972,1,0.995,0.76727,0.87712,0.88235,1.02921,0.0002822,0.0002822,0.0002822
46,600.981,1.01399,0.87265,1.10001,0.99812,1,0.995,0.77364,0.7755,0.84088,1.01109,0.00027725,0.00027725,0.00027725
47,614.837,1.04417,0.90629,1.12684,0.9813,1,0.99398,0.76967,0.75394,0.84381,1.01309,0.0002723,0.0002723,0.0002723
48,628.553,1.08131,0.89379,1.10988,0.99803,1,0.995,0.77476,0.74391,0.84928,1.01214,0.00026735,0.00026735,0.00026735
49,642.253,0.97811,0.85598,1.08229,0.99804,1,0.995,0.77297,0.75767,0.83273,1.00211,0.0002624,0.0002624,0.0002624
50,656.608,1.03071,0.92818,1.07672,0.98019,1,0.99042,0.7709,0.78376,0.82023,1.00308,0.00025745,0.00025745,0.00025745
51,671.368,1.01653,0.87363,1.10619,0.991,1,0.995,0.77538,0.79021,0.80247,1.00681,0.0002525,0.0002525,0.0002525
52,685.97,1.00378,0.88838,1.11224,0.98938,1,0.995,0.7753,0.78377,0.81041,1.00641,0.00024755,0.00024755,0.00024755
53,699.972,0.97089,0.83582,1.08671,0.99867,1,0.995,0.7813,0.76917,0.80137,1.0029,0.0002426,0.0002426,0.0002426
54,713.906,1.08406,0.94438,1.17973,0.99876,1,0.995,0.76726,0.79614,0.83531,1.004,0.00023765,0.00023765,0.00023765
55,727.429,1.00183,0.85083,1.07102,0.99858,1,0.995,0.75697,0.88207,0.86888,1.01871,0.0002327,0.0002327,0.0002327
56,741.081,0.99687,0.83268,1.09808,0.99893,1,0.995,0.74919,0.90539,0.85155,1.02647,0.00022775,0.00022775,0.00022775
57,754.263,1.08771,0.91084,1.079,0.9989,1,0.995,0.74722,0.87549,0.8343,1.01942,0.0002228,0.0002228,0.0002228
58,768.543,0.98849,0.84542,1.09962,0.99858,1,0.995,0.78454,0.77509,0.80914,1.00136,0.00021785,0.00021785,0.00021785
59,781.873,0.94905,0.7784,1.07573,0.99835,1,0.995,0.78028,0.78495,0.84073,0.99688,0.0002129,0.0002129,0.0002129
60,796.247,0.97704,0.81644,1.06698,0.99836,1,0.995,0.777,0.78853,0.87088,0.99671,0.00020795,0.00020795,0.00020795
61,809.823,0.94819,0.78778,1.05635,0.99853,1,0.995,0.7684,0.77885,0.85455,0.99701,0.000203,0.000203,0.000203
62,823.269,1.003,0.84912,1.1268,0.99885,1,0.995,0.77406,0.79407,0.80631,0.99864,0.00019805,0.00019805,0.00019805
63,836.131,0.9659,0.84211,1.06125,0.99885,1,0.995,0.7814,0.79157,0.78703,0.99716,0.0001931,0.0001931,0.0001931
64,849.978,0.91077,0.82112,1.08561,0.99901,1,0.995,0.79129,0.7733,0.7761,0.99596,0.00018815,0.00018815,0.00018815
65,863.911,0.88614,0.75987,1.04254,0.9992,1,0.995,0.79447,0.77515,0.80291,0.99388,0.0001832,0.0001832,0.0001832
66,877.618,1.03082,0.88247,1.10533,0.9989,1,0.995,0.79564,0.75544,0.79184,0.98749,0.00017825,0.00017825,0.00017825
67,890.713,0.99592,0.86047,1.11612,0.99877,1,0.995,0.80035,0.77864,0.76436,0.9941,0.0001733,0.0001733,0.0001733
68,905.245,0.98713,0.88749,1.08372,0.99883,1,0.995,0.80438,0.7977,0.76304,0.99497,0.00016835,0.00016835,0.00016835
69,919.1,0.96049,0.77298,1.07721,0.99888,1,0.995,0.79698,0.81313,0.74506,0.99595,0.0001634,0.0001634,0.0001634
70,933.04,1.00533,0.83247,1.13033,0.99892,1,0.995,0.79566,0.77081,0.73292,0.98868,0.00015845,0.00015845,0.00015845
71,946.973,0.99845,0.79155,1.10823,0.99888,1,0.995,0.81655,0.72794,0.73446,0.97624,0.0001535,0.0001535,0.0001535
72,961.139,0.97051,0.79222,1.07288,0.99886,1,0.995,0.81485,0.71574,0.76565,0.96839,0.00014855,0.00014855,0.00014855
73,974.902,0.98923,0.82487,1.05708,0.99887,1,0.995,0.82012,0.71531,0.76718,0.96432,0.0001436,0.0001436,0.0001436
74,988.487,0.90007,0.75897,1.06132,0.99892,1,0.995,0.81687,0.71401,0.73985,0.95961,0.00013865,0.00013865,0.00013865
75,1002.19,0.96046,0.8073,1.07479,0.9989,1,0.995,0.81816,0.71644,0.71877,0.96214,0.0001337,0.0001337,0.0001337
76,1015.78,1.0037,0.80792,1.12329,0.99893,1,0.995,0.81295,0.71434,0.70879,0.96242,0.00012875,0.00012875,0.00012875
77,1029.8,0.94151,0.78468,1.06822,0.99896,1,0.995,0.82035,0.70968,0.71243,0.9637,0.0001238,0.0001238,0.0001238
78,1043.3,0.92392,0.73465,1.04671,0.99902,1,0.995,0.81382,0.71069,0.70346,0.96499,0.00011885,0.00011885,0.00011885
79,1057.2,0.9316,0.74585,1.05989,0.99894,1,0.995,0.82078,0.71022,0.69898,0.96409,0.0001139,0.0001139,0.0001139
80,1071.2,0.94712,0.79706,1.06075,0.99897,1,0.995,0.81779,0.70092,0.69513,0.95613,0.00010895,0.00010895,0.00010895
81,1084.66,0.85849,0.76464,1.04587,0.99891,1,0.995,0.81993,0.68669,0.69364,0.95664,0.000104,0.000104,0.000104
82,1098.01,0.93684,0.751,1.0312,0.9989,1,0.995,0.81938,0.68203,0.69659,0.959,9.905e-05,9.905e-05,9.905e-05
83,1111.64,0.91175,0.77067,1.05591,0.99888,1,0.995,0.81938,0.68949,0.70597,0.96301,9.41e-05,9.41e-05,9.41e-05
84,1124.69,0.94906,0.79108,1.08341,0.99891,1,0.995,0.81869,0.68855,0.70834,0.96196,8.915e-05,8.915e-05,8.915e-05
85,1137.83,0.9318,0.75293,1.06838,0.99883,1,0.995,0.81929,0.69575,0.71906,0.96066,8.42e-05,8.42e-05,8.42e-05
86,1151.57,0.89863,0.74966,1.04108,0.99882,1,0.995,0.82089,0.69623,0.70932,0.95585,7.925e-05,7.925e-05,7.925e-05
87,1164.79,0.91797,0.77772,1.06468,0.99899,1,0.995,0.81852,0.69282,0.70269,0.95216,7.43e-05,7.43e-05,7.43e-05
88,1178.13,0.89576,0.73632,1.08528,0.99741,1,0.995,0.81449,0.7007,0.70768,0.95256,6.935e-05,6.935e-05,6.935e-05
89,1191.91,0.91197,0.74898,1.05101,0.99688,1,0.995,0.80993,0.70403,0.70372,0.95365,6.44e-05,6.44e-05,6.44e-05
90,1204.99,0.97774,0.75584,1.08144,0.99593,1,0.995,0.80529,0.70021,0.70129,0.95294,5.945e-05,5.945e-05,5.945e-05
91,1225.98,0.76447,0.70957,1.03001,0.99852,1,0.995,0.81233,0.69476,0.69359,0.95289,5.45e-05,5.45e-05,5.45e-05
92,1235.58,0.77406,0.72447,0.9995,0.99897,1,0.995,0.81147,0.68562,0.69636,0.95276,4.955e-05,4.955e-05,4.955e-05
93,1246.3,0.76159,0.71836,0.99199,0.99891,1,0.995,0.81597,0.67736,0.70658,0.95412,4.46e-05,4.46e-05,4.46e-05
94,1257.12,0.76889,0.70229,1.00827,0.99893,1,0.995,0.82001,0.67399,0.70742,0.95626,3.965e-05,3.965e-05,3.965e-05
95,1269.01,0.7834,0.70165,0.98162,0.99891,1,0.995,0.81373,0.67431,0.70904,0.95669,3.47e-05,3.47e-05,3.47e-05
96,1281.78,0.73861,0.71192,0.99382,0.99889,1,0.995,0.81951,0.67221,0.70317,0.95646,2.975e-05,2.975e-05,2.975e-05
97,1293.93,0.7484,0.71496,1.00042,0.99892,1,0.995,0.82041,0.67288,0.68731,0.95631,2.48e-05,2.48e-05,2.48e-05
98,1306.42,0.72741,0.67937,0.98367,0.99897,1,0.995,0.82345,0.67194,0.67703,0.95519,1.985e-05,1.985e-05,1.985e-05
99,1317.32,0.7647,0.69142,1.01859,0.99899,1,0.995,0.8252,0.67645,0.67898,0.95518,1.49e-05,1.49e-05,1.49e-05
100,1328.69,0.74168,0.67365,0.98613,0.99899,1,0.995,0.82595,0.67817,0.66992,0.95483,9.95e-06,9.95e-06,9.95e-06
