epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,465.248,1.0921,1.02698,1.103,0.99887,1,0.995,0.74977,0.90287,1.02445,1.03474,0.00033665,0.00033665,0.00033665
35,480.017,1.10162,1.01802,1.11926,0.99897,1,0.995,0.74616,0.87173,1.0148,1.02634,0.0003317,0.0003317,0.0003317
36,492.937,1.14088,1.17718,1.15518,0.99888,1,0.995,0.74934,0.87447,1.02239,1.01555,0.00032675,0.00032675,0.00032675
37,517.293,0.99274,1.15085,1.06095,0.99857,1,0.995,0.75686,0.86723,1.04953,1.01446,0.0003218,0.0003218,0.0003218
38,536.053,1.11856,1.02367,1.09859,0.99851,1,0.995,0.75595,0.86505,1.02405,1.01788,0.00031685,0.00031685,0.00031685
39,553.362,1.07617,1.06296,1.11966,0.99656,1,0.995,0.74704,0.86738,0.97008,1.01946,0.0003119,0.0003119,0.0003119
40,569.622,1.17496,0.98929,1.14397,0.99722,1,0.995,0.74888,0.89607,0.95354,1.02512,0.00030695,0.00030695,0.00030695
41,586.424,1.04502,0.9075,1.06638,0.99891,1,0.995,0.76088,0.8547,0.93028,1.03079,0.000302,0.000302,0.000302
42,602.224,1.01452,0.96448,1.10902,0.99879,1,0.995,0.75727,0.82819,0.89829,1.03399,0.00029705,0.00029705,0.00029705
43,617.145,1.01674,0.94262,1.09565,0.99882,1,0.995,0.75497,0.83849,0.93077,1.02651,0.0002921,0.0002921,0.0002921
44,632.633,1.0456,1.01301,1.14277,0.99877,1,0.995,0.77611,0.82101,0.96607,1.01852,0.00028715,0.00028715,0.00028715
45,647.536,1.10159,0.90426,1.12242,0.99847,1,0.995,0.76942,0.81395,0.97285,1.01017,0.0002822,0.0002822,0.0002822
46,662.606,0.97134,0.89015,1.04687,0.99874,1,0.995,0.76696,0.80333,0.94941,1.00715,0.00027725,0.00027725,0.00027725
47,677.279,0.93938,0.92686,1.04594,0.99867,1,0.995,0.78967,0.79278,0.92813,0.99472,0.0002723,0.0002723,0.0002723
48,692.154,0.99169,0.94899,1.10138,0.99851,1,0.995,0.79084,0.77869,0.93499,0.98945,0.00026735,0.00026735,0.00026735
49,706.725,1.0064,0.89654,1.07831,0.99877,1,0.995,0.78228,0.77934,0.87685,0.99987,0.0002624,0.0002624,0.0002624
50,721.943,1.03414,0.9356,1.1016,0.99887,1,0.995,0.7765,0.77469,0.8778,1.00709,0.00025745,0.00025745,0.00025745
51,736.008,1.07778,0.91696,1.1498,0.99912,1,0.995,0.76157,0.81445,0.8879,1.00561,0.0002525,0.0002525,0.0002525
52,751.209,1.05715,0.93975,1.10729,0.99878,1,0.995,0.76314,0.81578,0.89488,1.00626,0.00024755,0.00024755,0.00024755
53,765.009,0.97841,0.87875,1.06814,0.9988,1,0.995,0.76823,0.80817,0.8619,1.00538,0.0002426,0.0002426,0.0002426
54,779.924,0.97712,0.8541,1.05334,0.99882,1,0.995,0.77505,0.7816,0.84099,0.99885,0.00023765,0.00023765,0.00023765
55,793.946,1.01456,0.83394,1.10823,0.99896,1,0.995,0.80136,0.74836,0.8142,0.99012,0.0002327,0.0002327,0.0002327
56,808.294,0.98262,0.83763,1.0787,0.99898,1,0.995,0.78623,0.76995,0.82418,0.99762,0.00022775,0.00022775,0.00022775
