epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6459,2.33606,4.92451,1.72964,0,0,0,0,1.50061,4.94238,1.26949,3e-05,3e-05,3e-05
2,18.166,2.39603,4.94784,1.7544,0,0,0,0,1.39214,4.89291,1.18439,6.43565e-05,6.43565e-05,6.43565e-05
3,22.7327,2.11327,4.8389,1.55183,0,0,0,0,1.41457,4.84772,1.17781,9.802e-05,9.802e-05,9.802e-05
4,25.9567,1.80632,4.73289,1.37946,0,0,0,0,1.30793,4.82364,1.13377,0.00013099,0.00013099,0.00013099
5,28.7667,1.77418,4.4912,1.38435,0.71429,0.38462,0.33333,0.16033,1.18438,4.73019,1.12141,0.000163268,0.000163268,0.000163268
6,31.6109,1.77519,4.32362,1.40289,0.38889,0.53846,0.47516,0.23201,1.27478,4.63313,1.15355,0.000194853,0.000194853,0.000194853
7,34.4676,1.70169,4.01503,1.38053,0.38889,0.53846,0.47516,0.23201,1.27478,4.63313,1.15355,0.000225744,0.000225744,0.000225744
8,37.5204,1.71622,3.6665,1.36135,0.18919,0.53846,0.50955,0.27598,1.31448,4.62674,1.20195,0.000255943,0.000255943,0.000255943
9,40.5402,1.77116,3.36381,1.37031,1,0.29875,0.57073,0.31661,1.32607,4.34607,1.25517,0.000285448,0.000285448,0.000285448
10,43.7797,1.75017,2.91035,1.26294,1,0.29875,0.57073,0.31661,1.32607,4.34607,1.25517,0.000314261,0.000314261,0.000314261
11,48.3451,1.32573,2.91446,1.12531,0.78615,0.56743,0.69638,0.35212,1.37652,3.47443,1.14151,0.00034238,0.00034238,0.00034238
12,52.0499,1.59599,2.53095,1.28126,0.78615,0.56743,0.69638,0.35212,1.37652,3.47443,1.14151,0.000369806,0.000369806,0.000369806
13,56.1766,1.57563,2.46467,1.29715,1,0.75959,0.87053,0.53841,1.25068,2.57822,1.12669,0.00039654,0.00039654,0.00039654
14,60.0562,1.57964,2.24869,1.32682,1,0.75959,0.87053,0.53841,1.25068,2.57822,1.12669,0.00042258,0.00042258,0.00042258
15,63.9267,1.36002,1.92981,1.12842,0.89529,0.92308,0.91884,0.58994,1.15174,1.81019,1.05044,0.0004307,0.0004307,0.0004307
16,67.3049,1.68207,2.13177,1.37543,0.89529,0.92308,0.91884,0.58994,1.15174,1.81019,1.05044,0.00042575,0.00042575,0.00042575
17,70.8798,1.39591,2.06425,1.23443,0.84504,0.83944,0.91869,0.53194,1.12286,1.73208,1.01589,0.0004208,0.0004208,0.0004208
18,74.4553,1.36223,2.33787,1.1663,0.84504,0.83944,0.91869,0.53194,1.12286,1.73208,1.01589,0.00041585,0.00041585,0.00041585
19,80.8538,1.41336,1.84677,1.23848,0.84504,0.83944,0.91869,0.53194,1.12286,1.73208,1.01589,0.0004109,0.0004109,0.0004109
20,85.3425,1.3218,1.6377,1.14149,1,0.84219,0.93428,0.61505,1.15846,1.73146,1.04303,0.00040595,0.00040595,0.00040595
21,88.935,1.2786,1.80657,1.13255,1,0.84219,0.93428,0.61505,1.15846,1.73146,1.04303,0.000401,0.000401,0.000401
22,92.0571,1.45251,1.83719,1.22382,0.9225,0.91619,0.93292,0.64355,1.1844,1.65259,1.06353,0.00039605,0.00039605,0.00039605
23,95.0057,1.07672,2.14904,0.98351,0.9225,0.91619,0.93292,0.64355,1.1844,1.65259,1.06353,0.0003911,0.0003911,0.0003911
24,98.0583,1.3582,1.65126,1.15183,1,0.99005,0.995,0.67579,1.1601,1.44551,1.05727,0.00038615,0.00038615,0.00038615
25,100.994,1.23775,2.03245,0.96599,1,0.99005,0.995,0.67579,1.1601,1.44551,1.05727,0.0003812,0.0003812,0.0003812
26,104.596,1.38297,1.58881,1.16086,1,0.99725,0.995,0.68649,1.14332,1.32893,1.07122,0.00037625,0.00037625,0.00037625
27,108.235,1.32016,1.45574,1.17064,1,0.99725,0.995,0.68649,1.14332,1.32893,1.07122,0.0003713,0.0003713,0.0003713
