epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,136.355,1.20828,1.43691,1.11231,0.98343,0.90909,0.971,0.68397,0.99113,1.19281,0.97879,0.00028715,0.00028715,0.00028715
45,139.267,1.10165,1.41163,1.08182,0.99957,1,0.995,0.74823,0.88285,1.17474,0.93492,0.0002822,0.0002822,0.0002822
46,142.616,0.98619,1.28513,1.05004,0.99957,1,0.995,0.74823,0.88285,1.17474,0.93492,0.00027725,0.00027725,0.00027725
47,146.513,1.40682,1.68354,1.24209,0.99009,0.90909,0.96687,0.77573,0.74672,1.12344,0.90498,0.0002723,0.0002723,0.0002723
48,149.649,1.0085,1.2916,1.06607,0.99009,0.90909,0.96687,0.77573,0.74672,1.12344,0.90498,0.00026735,0.00026735,0.00026735
49,152.932,1.08179,1.321,1.10334,0.99666,0.90909,0.96687,0.78466,0.6709,1.10296,0.89858,0.0002624,0.0002624,0.0002624
50,156.105,0.91623,1.14432,1.00673,0.99666,0.90909,0.96687,0.78466,0.6709,1.10296,0.89858,0.00025745,0.00025745,0.00025745
51,158.929,1.143,1.18807,1.04859,0.99666,0.90909,0.96687,0.78466,0.6709,1.10296,0.89858,0.0002525,0.0002525,0.0002525
52,162.092,1.20833,1.44023,1.15847,0.99616,0.90909,0.9875,0.78798,0.64381,1.06091,0.90128,0.00024755,0.00024755,0.00024755
53,165.286,1.1374,1.25851,1.12571,0.99616,0.90909,0.9875,0.78798,0.64381,1.06091,0.90128,0.0002426,0.0002426,0.0002426
54,168.434,1.02351,1.219,1.08526,0.99496,0.90909,0.9875,0.79703,0.6466,1.02367,0.90159,0.00023765,0.00023765,0.00023765
55,171.393,1.08354,1.2598,1.10069,0.99496,0.90909,0.9875,0.79703,0.6466,1.02367,0.90159,0.0002327,0.0002327,0.0002327
56,174.672,1.04322,1.18048,1.08731,1,0.99342,0.995,0.80536,0.65531,1.00093,0.897,0.00022775,0.00022775,0.00022775
57,177.53,0.90402,1.13395,1.03673,1,0.99342,0.995,0.80536,0.65531,1.00093,0.897,0.0002228,0.0002228,0.0002228
58,180.377,1.13015,1.36442,1.18574,1,0.99618,0.995,0.81135,0.66592,0.97603,0.9047,0.00021785,0.00021785,0.00021785
59,183.919,0.98906,1.36167,1.03744,1,0.99618,0.995,0.81135,0.66592,0.97603,0.9047,0.0002129,0.0002129,0.0002129
60,186.664,1.10525,1.11813,1.02275,1,0.99618,0.995,0.81135,0.66592,0.97603,0.9047,0.00020795,0.00020795,0.00020795
61,189.844,1.05485,1.2001,1.0367,1,0.9974,0.995,0.80115,0.66771,0.95838,0.90278,0.000203,0.000203,0.000203
62,192.676,0.92883,1.15205,1.00876,1,0.9974,0.995,0.80115,0.66771,0.95838,0.90278,0.00019805,0.00019805,0.00019805
63,195.84,1.04232,1.21184,1.07655,1,0.99682,0.995,0.83394,0.67895,0.93956,0.90727,0.0001931,0.0001931,0.0001931
64,198.66,0.96931,1.17239,1.07301,1,0.99682,0.995,0.83394,0.67895,0.93956,0.90727,0.00018815,0.00018815,0.00018815
65,201.863,0.9509,1.11412,1.02825,1,0.99567,0.995,0.81701,0.67186,0.9407,0.89414,0.0001832,0.0001832,0.0001832
66,204.714,0.96302,1.19341,1.03577,1,0.99567,0.995,0.81701,0.67186,0.9407,0.89414,0.00017825,0.00017825,0.00017825
67,207.684,0.85105,1.06563,0.9972,1,0.99567,0.995,0.81701,0.67186,0.9407,0.89414,0.0001733,0.0001733,0.0001733
68,210.526,0.93255,1.13371,1.05088,1,0.99542,0.995,0.84148,0.68568,0.94721,0.89429,0.00016835,0.00016835,0.00016835
69,213.414,0.8575,1.09097,0.98157,1,0.99542,0.995,0.84148,0.68568,0.94721,0.89429,0.0001634,0.0001634,0.0001634
70,216.472,1.10463,1.09746,1.14862,1,0.99631,0.995,0.83633,0.67655,0.95567,0.89183,0.00015845,0.00015845,0.00015845
71,219.234,0.82298,1.04458,0.94369,1,0.99631,0.995,0.83633,0.67655,0.95567,0.89183,0.0001535,0.0001535,0.0001535
72,222.076,1.04853,1.30557,1.02165,1,0.99683,0.995,0.83862,0.64984,0.94376,0.88845,0.00014855,0.00014855,0.00014855
73,224.92,0.95858,1.16905,0.98207,1,0.99683,0.995,0.83862,0.64984,0.94376,0.88845,0.0001436,0.0001436,0.0001436
74,227.896,0.99105,1.17421,1.01735,1,0.99712,0.995,0.84108,0.63545,0.94084,0.88337,0.00013865,0.00013865,0.00013865
75,230.661,1.04282,1.12015,1.04046,1,0.99712,0.995,0.84108,0.63545,0.94084,0.88337,0.0001337,0.0001337,0.0001337
76,233.592,0.89334,1.11039,0.97863,1,0.99712,0.995,0.84108,0.63545,0.94084,0.88337,0.00012875,0.00012875,0.00012875
77,236.722,0.90187,1.23978,1.00771,1,0.99692,0.995,0.84468,0.6016,0.91812,0.8831,0.0001238,0.0001238,0.0001238
78,239.612,0.92081,1.10229,1.03191,1,0.99692,0.995,0.84468,0.6016,0.91812,0.8831,0.00011885,0.00011885,0.00011885
79,242.489,0.95692,1.12409,1.1009,1,0.99889,0.995,0.84293,0.58507,0.89664,0.87968,0.0001139,0.0001139,0.0001139
80,245.249,1.06192,1.23059,1.10968,1,0.99889,0.995,0.84293,0.58507,0.89664,0.87968,0.00010895,0.00010895,0.00010895
81,248.178,0.98999,1.26078,1.05451,0.99967,1,0.995,0.82329,0.58678,0.89225,0.87925,0.000104,0.000104,0.000104
82,250.92,0.83629,1.07936,0.96011,0.99967,1,0.995,0.82329,0.58678,0.89225,0.87925,9.905e-05,9.905e-05,9.905e-05
83,253.847,0.93081,1.24231,1.04007,0.99967,1,0.995,0.82329,0.58678,0.89225,0.87925,9.41e-05,9.41e-05,9.41e-05
84,256.877,0.75096,1.46811,0.88339,0.99904,1,0.995,0.82178,0.58178,0.88203,0.87917,8.915e-05,8.915e-05,8.915e-05
85,259.708,0.81015,0.97882,0.9999,0.99904,1,0.995,0.82178,0.58178,0.88203,0.87917,8.42e-05,8.42e-05,8.42e-05
86,262.522,0.93824,1.13408,0.9447,0.99953,1,0.995,0.834,0.5783,0.8742,0.88155,7.925e-05,7.925e-05,7.925e-05
87,269.511,0.90785,1.18812,1.08259,0.99953,1,0.995,0.834,0.5783,0.8742,0.88155,7.43e-05,7.43e-05,7.43e-05
88,273.444,0.93998,1.12335,1.00805,0.99996,1,0.995,0.8344,0.5621,0.88746,0.88153,6.935e-05,6.935e-05,6.935e-05
89,276.503,0.89881,1.05833,0.98073,0.99996,1,0.995,0.8344,0.5621,0.88746,0.88153,6.44e-05,6.44e-05,6.44e-05
90,279.691,0.96052,0.94149,0.95786,1,0.99901,0.995,0.85443,0.5498,0.87348,0.87854,5.945e-05,5.945e-05,5.945e-05
91,294.283,0.91273,1.15146,0.98907,1,0.99901,0.995,0.85443,0.5498,0.87348,0.87854,5.45e-05,5.45e-05,5.45e-05
92,296.889,0.80112,1.15183,0.96484,1,0.99901,0.995,0.85443,0.5498,0.87348,0.87854,4.955e-05,4.955e-05,4.955e-05
93,299.471,0.76585,1.1244,0.94357,0.99854,1,0.995,0.81937,0.59475,0.87204,0.88308,4.46e-05,4.46e-05,4.46e-05
94,301.89,0.9204,1.71692,0.89207,0.99854,1,0.995,0.81937,0.59475,0.87204,0.88308,3.965e-05,3.965e-05,3.965e-05
95,304.556,1.03262,1.50292,0.97613,0.99926,1,0.995,0.818,0.62618,0.9061,0.89631,3.47e-05,3.47e-05,3.47e-05
96,307.564,0.74774,1.10345,0.89389,0.99926,1,0.995,0.818,0.62618,0.9061,0.89631,2.975e-05,2.975e-05,2.975e-05
97,310.698,0.82195,1.06582,0.95159,0.99743,1,0.995,0.82475,0.64931,0.93139,0.90329,2.48e-05,2.48e-05,2.48e-05
98,313.757,0.89922,1.2201,0.98959,0.99743,1,0.995,0.82475,0.64931,0.93139,0.90329,1.985e-05,1.985e-05,1.985e-05
99,317.302,0.75751,1.19201,0.98395,0.99743,1,0.995,0.82475,0.64931,0.93139,0.90329,1.49e-05,1.49e-05,1.49e-05
100,320.923,0.85465,1.18032,0.99578,0.99615,1,0.995,0.79578,0.67284,0.9547,0.91074,9.95e-06,9.95e-06,9.95e-06
